,Quarter,Tm,Detail,CHI,PIT
0,2.0,Bears,Bob Thomas 32 yard field goal,3,0
1,2.0,Steelers,Roy Gerela 37 yard field goal,3,3
2,2.0,Steelers,Reggie Harrison 1 yard rush (Roy Gerela kick),3,10
3,3.0,Steelers,Roy Gerela 18 yard field goal,3,13
4,3.0,Steelers,Franco Harris 3 yard rush (Roy Gerela kick),3,20
5,4.0,Steelers,Rocky Bleier 3 yard rush (Roy Gerela kick),3,27
6,4.0,Steelers,Terry Bradshaw 1 yard rush (Roy Gerela kick),3,34
