,Quarter,Tm,Detail,RAI,GNB
0,2.0,Packers,Edgar Bennett 1 yard rush (Chris Jacke kick),0,7
1,3.0,Packers,Sterling Sharpe 23 yard pass from Brett Favre (Chris Jacke kick),0,14
2,4.0,Packers,LeRoy Butler 25 yard defensive fumble return (Chris Jacke kick),0,21
3,4.0,Packers,Darrell Thompson 60 yard rush (Chris Jacke kick),0,28
