,Quarter,Tm,Detail,BAL,NYG
0,1.0,Giants,Fran Tarkenton 7 yard rush (Pete Gogolak kick),0,7
1,1.0,Colts,Jim O'Brien 27 yard field goal,3,7
2,2.0,Colts,Norm Bulaich 34 yard rush (Jim O'Brien kick),10,7
3,2.0,Colts,Norm Bulaich 27 yard pass from Earl Morrall (Jim O'Brien kick),17,7
4,2.0,Colts,Ray Perkins 10 yard pass from Earl Morrall (Jim O'Brien kick),24,7
5,3.0,Colts,Ray Perkins 9 yard pass from Earl Morrall (Jim O'Brien kick),31,7
