,Quarter,Tm,Detail,DAL,WAS
0,1.0,Cowboys,Tony Dorsett 29 yard rush (Rafael Septien kick),7,0
1,1.0,Redskins,Monte Coleman 49 yard interception return (Mark Moseley kick),7,7
2,2.0,Redskins,Clint Didier 8 yard pass from Joe Theismann (Mark Moseley kick),7,14
3,2.0,Redskins,Mark Moseley 20 yard field goal,7,17
4,3.0,Redskins,Calvin Muhammad 80 yard pass from Joe Theismann (Mark Moseley kick),7,24
5,3.0,Redskins,Mark Moseley 22 yard field goal,7,27
6,4.0,Redskins,Clint Didier 3 yard pass from Joe Theismann (Mark Moseley kick),7,34
7,4.0,Cowboys,Tony Dorsett 6 yard rush (Rafael Septien kick),14,34
