,Quarter,Time,Tm,Detail,MIA,MIN
0,1.0,11:40,Vikings,Stefon Diggs 13 yard pass from Kirk Cousins (Dan Bailey kick),0,7
1,1.0,6:21,Vikings,Dalvin Cook 13 yard rush (Dan Bailey kick),0,14
2,1.0,1:32,Vikings,Latavius Murray 18 yard rush (Dan Bailey kick),0,21
3,2.0,7:44,Dolphins,Minkah Fitzpatrick 50 yard interception return (Jason Sanders kick),7,21
4,2.0,0:14,Dolphins,Jason Sanders 25 yard field goal,10,21
5,3.0,14:49,Dolphins,Kalen Ballage 75 yard rush (Jason Sanders kick),17,21
6,3.0,8:40,Vikings,Dan Bailey 36 yard field goal,17,24
7,4.0,13:01,Vikings,Dan Bailey 34 yard field goal,17,27
8,4.0,9:54,Vikings,Aldrick Robinson 40 yard pass from Kirk Cousins (Dan Bailey kick),17,34
9,4.0,7:49,Vikings,Dalvin Cook 21 yard rush (Dan Bailey kick),17,41
