,Quarter,Tm,Detail,PHI,CLE
0,1.0,Browns,Matt Bahr 24 yard field goal,0,3
1,2.0,Eagles,Luis Zendejas 39 yard field goal,3,3
2,3.0,Browns,Webster Slaughter 15 yard pass from Don Strock,3,9
3,4.0,Browns,Matt Bahr 37 yard field goal,3,12
4,4.0,Browns,Reggie Langhorne 18 yard pass from Don Strock (Matt Bahr kick),3,19
