,Quarter,Time,Tm,Detail,NYG,WAS
0,2.0,4:00,Giants,Aldrick Rosas 30 yard field goal,3,0
1,2.0,0:13,Redskins,Nick Rose 28 yard field goal,3,3
2,3.0,6:32,Redskins,Jamison Crowder 15 yard pass from Kirk Cousins (Nick Rose kick),3,10
3,3.0,2:52,Giants,Janoris Jenkins 53 yard interception return (Aldrick Rosas kick),10,10
4,4.0,3:31,Redskins,Josh Doctson 14 yard pass from Kirk Cousins (Nick Rose kick),10,17
5,4.0,1:49,Redskins,Nick Rose 33 yard field goal,10,20
