,Quarter,Tm,Detail,PHI,OAK
0,1.0,Eagles,Tom Woodeshick 7 yard pass from Rick Arrington (Happy Feller kick),7,0
1,2.0,Eagles,Happy Feller 31 yard field goal,10,0
2,3.0,Raiders,Fred Biletnikoff 35 yard pass from Daryle Lamonica,10,6
3,3.0,Raiders,Pete Banaszak 2 yard rush (George Blanda kick),10,13
4,4.0,Raiders,Eldridge Dickey 27 yard pass from Daryle Lamonica (George Blanda kick),10,20
5,4.0,Raiders,George Atkinson 26 yard special teams fumble return (George Blanda kick),10,27
6,4.0,Raiders,Don Highsmith 14 yard rush (George Blanda kick),10,34
