,Quarter,Tm,Detail,BUF,ATL
0,1.0,Bills,James Lofton 6 yard pass from Jim Kelly (Scott Norwood kick),7,0
1,2.0,Falcons,Paul McFadden 54 yard field goal,7,3
2,3.0,Falcons,Keith Jones 1 yard rush (Paul McFadden kick),7,10
3,3.0,Bills,Keith McKeller 11 yard pass from Jim Kelly (Scott Norwood kick),14,10
4,3.0,Falcons,Floyd Dixon 26 yard pass from Chris Miller (Paul McFadden kick),14,17
5,3.0,Falcons,Paul McFadden 26 yard field goal,14,20
6,3.0,Bills,Thurman Thomas 2 yard rush (Scott Norwood kick),21,20
7,4.0,Falcons,Keith Jones 3 yard rush (Paul McFadden kick),21,27
8,4.0,Bills,Larry Kinnebrew 1 yard rush (Scott Norwood kick),28,27
9,4.0,Falcons,Paul McFadden 50 yard field goal,28,30
