,Quarter,Time,Tm,Detail,STL,GNB
0,2.0,,Packers,Ryan Longwell 44 yard field goal,0,3
1,3.0,,Packers,Antonio Freeman 25 yard pass from Brett Favre (Ryan Longwell kick),0,10
2,3.0,,Rams,Lawrence Phillips 8 yard rush (Jeff Wilkins kick),7,10
3,4.0,11:26,Packers,Brett Favre 7 yard rush (Ryan Longwell kick),7,17
