,Quarter,Time,Tm,Detail,DET,PHI
0,1.0,,Eagles,Ricky Watters 11 yard rush (Gary Anderson kick),0,7
1,2.0,,Lions,Jason Hanson 50 yard field goal,3,7
2,2.0,,Eagles,Gary Anderson 39 yard field goal,3,10
3,3.0,,Eagles,Chris Jones 17 yard pass from Rodney Peete (Gary Anderson kick),3,17
4,3.0,,Lions,Barry Sanders 8 yard rush (Jason Hanson kick),10,17
5,4.0,,Eagles,Rodney Peete 1 yard rush (Gary Anderson kick),10,24
6,4.0,,Lions,Barry Sanders 1 yard rush (Jason Hanson kick),17,24
