,Quarter,Tm,Detail,GNB,NYG
0,1.0,Giants,Matt Bahr 47 yard field goal,0,3
1,1.0,Giants,Matt Bahr 38 yard field goal,0,6
2,2.0,Packers,Vince Workman 3 yard rush (Chris Jacke kick),7,6
3,2.0,Giants,Rodney Hampton 2 yard rush (Matt Bahr kick),7,13
4,4.0,Giants,Reyna Thompson 69 yard interception return (Matt Bahr kick),7,20
5,4.0,Giants,Rodney Hampton 8 yard rush (Matt Bahr kick),7,27
