,Quarter,Tm,Detail,GNB,MIA
0,1.0,Dolphins,Jim Jensen 7 yard pass from Dan Marino (Pete Stoyanovich kick),0,7
1,1.0,Packers,Chris Jacke 44 yard field goal,3,7
2,2.0,Packers,Chris Jacke 21 yard field goal,6,7
3,2.0,Dolphins,Pete Stoyanovich 36 yard field goal,6,10
4,3.0,Dolphins,Mark Clayton 24 yard pass from Dan Marino (Pete Stoyanovich kick),6,17
5,4.0,Dolphins,Pete Stoyanovich 21 yard field goal,6,20
6,4.0,Packers,Sterling Sharpe 22 yard pass from Don Majkowski (Chris Jacke kick),13,20
7,4.0,Packers,Sterling Sharpe 10 yard pass from Don Majkowski (Chris Jacke kick),20,20
8,4.0,Dolphins,Pete Stoyanovich 33 yard field goal,20,23
