,Quarter,Time,Tm,Detail,TEN,PIT
0,1.0,5:43,Steelers,Jeff Reed 26 yard field goal,0,3
1,2.0,13:53,Steelers,Amos Zereoue 5 yard rush (Jeff Reed kick),0,10
2,2.0,9:30,Titans,"Safety,",2,10
3,2.0,7:51,Titans,Drew Bennett 10 yard pass from Steve McNair (Gary Anderson kick),9,10
4,2.0,2:40,Steelers,Jeff Reed 23 yard field goal,9,13
5,2.0,0:26,Titans,Erron Kinney 1 yard pass from Steve McNair (Gary Anderson kick),16,13
6,3.0,4:33,Titans,Justin McCareins 29 yard pass from Steve McNair (Gary Anderson kick),23,13
7,4.0,12:46,Titans,Rocky Boiman 60 yard interception return (Gary Anderson kick),30,13
