,Quarter,Tm,Detail,STL,CLE
0,1.0,Browns,Paul Warfield 36 yard pass from Leroy Kelly (Don Cockroft kick),0,7
1,1.0,Cardinals,John Gilliam 84 yard pass from Charley Johnson (Jim Bakken kick),7,7
2,3.0,Cardinals,John Gilliam 75 yard pass from Charley Johnson (Jim Bakken kick),14,7
3,3.0,Browns,Leroy Kelly 2 yard rush (Don Cockroft kick),14,14
4,4.0,Browns,Gary Collins 12 yard pass from Bill Nelsen (Don Cockroft kick),14,21
5,4.0,Cardinals,John Gilliam 15 yard pass from Charley Johnson (Jim Bakken kick),21,21
