,Quarter,Tm,Detail,OAK,SDG
0,1.0,Chargers,Bo Matthews offensive fumble recovery in end zone (Toni Fritsch kick),0,7
1,1.0,Raiders,Dave Casper 4 yard pass from Ken Stabler (Fred Steinfort kick),7,7
2,2.0,Raiders,Cliff Branch 74 yard pass from Ken Stabler (Fred Steinfort kick),14,7
3,3.0,Chargers,Toni Fritsch 45 yard field goal,14,10
4,4.0,Chargers,Mercury Morris 1 yard rush (Toni Fritsch kick),14,17
5,4.0,Raiders,Cliff Branch 41 yard pass from Ken Stabler (Fred Steinfort kick),21,17
6,4.0,Raiders,Pete Banaszak 4 yard rush,27,17
