,Quarter,Time,Tm,Detail,DEN,ARI
0,1.0,7:43,Cardinals,Bill Gramatica 28 yard field goal,0,3
1,2.0,14:57,Cardinals,Thomas Jones 1 yard rush (Bill Gramatica kick),0,10
2,2.0,11:24,Broncos,Jason Elam 49 yard field goal,3,10
3,2.0,5:04,Broncos,Jason Elam 31 yard field goal,6,10
4,2.0,3:23,Broncos,Jason Elam 35 yard field goal,9,10
5,2.0,0:32,Broncos,Rod Smith 10 yard pass from Brian Griese (Dwayne Carswell pass from Brian Griese),17,10
6,3.0,11:51,Broncos,Rod Smith 34 yard pass from Brian Griese (Jason Elam kick),24,10
7,3.0,5:53,Broncos,Patrick Hape 1 yard pass from Brian Griese (Jason Elam kick),31,10
8,4.0,13:38,Broncos,Olandis Gary 9 yard rush (Jason Elam kick),38,10
9,4.0,4:54,Cardinals,Terry Hardy 6 yard pass from Jake Plummer (Bill Gramatica kick),38,17
