,Quarter,Time,Tm,Detail,NYJ,PIT
0,1.0,3:45,Steelers,Kris Brown 26 yard field goal,0,3
1,2.0,10:21,Steelers,Chris Fuamatu-Ma'afala 1 yard rush (Kris Brown kick failed),0,9
2,2.0,4:37,Jets,Wayne Chrebet 18 yard pass from Curtis Martin (John Hall kick),7,9
3,2.0,0:35,Steelers,Kris Brown 33 yard field goal,7,12
4,4.0,9:24,Steelers,Kris Brown 38 yard field goal,7,15
5,4.0,2:17,Steelers,Kris Brown 20 yard field goal,7,18
