,Quarter,Tm,Detail,CLE,MIA
0,2.0,Browns,Bo Scott 13 yard pass from Bill Nelsen (Don Cockroft kick),7,0
1,2.0,Browns,Dale Lindsey 56 yard interception return (Don Cockroft kick),14,0
2,3.0,Browns,Gary Collins 21 yard pass from Bill Nelsen (Don Cockroft kick),21,0
3,4.0,Browns,Randy Minniear 1 yard rush (Don Cockroft kick),28,0
