,Quarter,Tm,Detail,IND,PIT
0,1.0,Steelers,John Stallworth 3 yard pass from Steve Bono (David Trout kick),0,7
1,2.0,Colts,Walter Murray 20 yard pass from Blair Kiel (Steve Jordan kick),7,7
2,4.0,Steelers,Merril Hoge 20 yard pass from Steve Bono (David Trout kick),7,14
3,4.0,Steelers,Chuck Sanders 10 yard rush (David Trout kick),7,21
