,Quarter,Time,Tm,Detail,JAX,CAR
0,1.0,5:42,Jaguars,Mike Hollis 36 yard field goal,3,0
1,2.0,12:50,Jaguars,Mike Hollis 40 yard field goal,6,0
2,2.0,3:06,Panthers,Wesley Walls 10 yard pass from Steve Beuerlein (John Kasay kick),6,7
3,2.0,1:28,Panthers,Muhsin Muhammad 60 yard pass from Steve Beuerlein (John Kasay kick),6,14
4,3.0,7:31,Jaguars,James Stewart 1 yard rush (pass failed),12,14
5,4.0,10:22,Jaguars,Mike Hollis 31 yard field goal,15,14
6,4.0,1:48,Jaguars,James Stewart 44 yard rush (Mike Hollis kick),22,14
7,4.0,0:31,Panthers,Wesley Walls 1 yard pass from Steve Beuerlein (pass failed),22,20
