,Quarter,Tm,Detail,NOR,PHI
0,1.0,Saints,Morten Andersen 45 yard field goal,3,0
1,1.0,Saints,John Tice 6 yard pass from Bobby Hebert (Morten Andersen kick),10,0
2,2.0,Eagles,Paul McFadden 30 yard field goal,10,3
3,2.0,Eagles,Mike Quick 19 yard pass from Randall Cunningham (Paul McFadden kick),10,10
4,2.0,Eagles,Kenny Jackson 25 yard pass from Randall Cunningham (Paul McFadden kick),10,17
5,3.0,Eagles,Paul McFadden 30 yard field goal,10,20
6,4.0,Eagles,Seth Joyner 18 yard defensive fumble return (Paul McFadden kick),10,27
7,4.0,Saints,John Tice 27 yard pass from Dave Wilson (Morten Andersen kick),17,27
