,Quarter,Tm,Detail,SIS,GNB
0,1,Packers,Lavvie Dilweg 17 yard pass from Paul Fitzgibbon (Lavvie Dilweg pass from Paul Fitzgibbon),0,7
1,2,Packers,Johnny Blood 55 yard pass from Red Dunn,0,13
2,3,Packers,Johnny Blood 13 yard rush (Red Dunn kick),0,20
3,4,Packers,Hank Bruder 25 yard touchdown on a lateral,0,26
