,Quarter,Tm,Detail,HOU,OAK
0,1.0,Raiders,Cliff Branch 13 yard pass from Ken Stabler,0,6
1,1.0,Oilers,Skip Butler 23 yard field goal,3,6
2,2.0,Raiders,Pete Banaszak 3 yard rush (George Blanda kick),3,13
3,2.0,Oilers,Ken Burrough 68 yard pass from Dan Pastorini (Skip Butler kick),10,13
4,2.0,Oilers,Ken Burrough 13 yard pass from Dan Pastorini (Skip Butler kick),17,13
5,2.0,Raiders,Harold Hart 3 yard rush (George Blanda kick),17,20
6,3.0,Raiders,Morris Bradshaw 13 yard pass from David Humm,17,26
7,3.0,Oilers,Skip Butler 47 yard field goal,20,26
8,4.0,Oilers,Mack Alston 2 yard pass from Dan Pastorini (Skip Butler kick),27,26
