,Quarter,Time,Tm,Detail,DEN,KAN
0,2.0,,Broncos,Terrell Davis 1 yard rush (Jason Elam kick),7,0
1,3.0,,Chiefs,Pete Stoyanovich 20 yard field goal,7,3
2,3.0,,Chiefs,Tony Gonzalez 12 yard pass from Elvis Grbac (Pete Stoyanovich kick),7,10
3,4.0,,Broncos,Terrell Davis 1 yard rush (Jason Elam kick),14,10
