,Quarter,Time,Tm,Detail,JAX,NYG
0,1.0,9:06,Giants,Lawrence Tynes 22 yard field goal,0,3
1,1.0,4:44,Jaguars,Rashad Jennings 5 yard rush (Josh Scobee kick),7,3
2,2.0,9:11,Jaguars,Josh Scobee 22 yard field goal,10,3
3,2.0,5:34,Giants,Lawrence Tynes 29 yard field goal,10,6
4,2.0,0:19,Jaguars,David Garrard 5 yard rush (Josh Scobee kick),17,6
5,3.0,10:19,Giants,Lawrence Tynes 28 yard field goal,17,9
6,4.0,13:42,Giants,Mario Manningham 26 yard pass from Eli Manning (Ahmad Bradshaw run),17,17
7,4.0,8:26,Jaguars,Josh Scobee 42 yard field goal,20,17
8,4.0,3:15,Giants,Kevin Boss 32 yard pass from Eli Manning (Lawrence Tynes kick),20,24
