,Quarter,Time,Tm,Detail,NYJ,NWE
0,1.0,,Jets,Kyle Brady 1 yard pass from Vinny Testaverde (John Hall kick),7,0
1,1.0,,Patriots,Robert Edwards 1 yard rush (Adam Vinatieri kick),7,7
2,2.0,,Patriots,Lovett Purnell 6 yard pass from Drew Bledsoe (Adam Vinatieri kick),7,14
3,2.0,0:03,Jets,John Hall 23 yard field goal,10,14
4,4.0,0:03,Jets,Kyle Brady 1 yard pass from Vinny Testaverde (John Hall kick),17,14
5,4.0,0:03,Jets,Dedric Ward 43 yard pass from Vinny Testaverde (John Hall kick),24,14
