,Quarter,Time,Tm,Detail,CAR,NWE
0,1.0,2:43,Panthers,Steve Smith 41 yard pass from Matt Moore (John Kasay kick),7,0
1,2.0,1:08,Patriots,Kevin Faulk 3 yard rush (Stephen Gostkowski kick),7,7
2,3.0,1:06,Patriots,Ben Watson 5 yard pass from Tom Brady (Stephen Gostkowski kick),7,14
3,4.0,12:14,Panthers,John Kasay 36 yard field goal,10,14
4,4.0,7:20,Patriots,Stephen Gostkowski 48 yard field goal,10,17
5,4.0,3:56,Patriots,Stephen Gostkowski 47 yard field goal,10,20
