,Quarter,Time,Tm,Detail,KAN,DEN
0,1.0,10:47,Chiefs,Andre Rison 26 yard pass from Rich Gannon (Pete Stoyanovich kick),7,0
1,1.0,10:47,Chiefs,Kimble Anders 11 yard pass from Rich Gannon (Pete Stoyanovich kick),14,0
2,1.0,10:47,Broncos,Terrell Davis 1 yard rush (Jason Elam kick),14,7
3,1.0,10:47,Chiefs,Bam Morris 1 yard rush (Pete Stoyanovich kick),21,7
4,2.0,10:47,Broncos,Terrell Davis 1 yard rush (Jason Elam kick),21,14
5,2.0,10:47,Broncos,Ed McCaffrey 13 yard pass from John Elway (Jason Elam kick),21,21
6,3.0,10:47,Chiefs,Joe Horn 26 yard pass from Rich Gannon (Pete Stoyanovich kick),28,21
7,4.0,10:47,Chiefs,Pete Stoyanovich 20 yard field goal,31,21
8,4.0,10:47,Broncos,Terrell Davis 1 yard rush (Jason Elam kick),31,28
9,4.0,10:47,Broncos,Shannon Sharpe 24 yard pass from John Elway (Jason Elam kick),31,35
