,Quarter,Time,Tm,Detail,TAM,CAR
0,1.0,9:10,Buccaneers,Rian Lindell 27 yard field goal,3,0
1,1.0,6:08,Panthers,Brandon LaFell 16 yard pass from Cam Newton (Graham Gano kick),3,7
2,1.0,2:14,Buccaneers,Rian Lindell 53 yard field goal,6,7
3,2.0,6:23,Panthers,Graham Gano 23 yard field goal,6,10
4,2.0,0:25,Panthers,Cam Newton 1 yard rush (Graham Gano kick),6,17
5,3.0,10:50,Panthers,Ted Ginn Jr. 36 yard pass from Cam Newton (Graham Gano kick),6,24
6,4.0,6:40,Panthers,Graham Gano 22 yard field goal,6,27
