,Quarter,Time,Tm,Detail,CAR,TAM
0,1.0,5:47,Buccaneers,Ronald Jones II 7 yard rush (Ryan Succop kick),0,7
1,1.0,4:45,Buccaneers,Mike Evans 23 yard pass from Tom Brady (Ryan Succop kick),0,14
2,2.0,3:06,Buccaneers,Leonard Fournette 1 yard rush (Ryan Succop kick),0,21
3,3.0,8:43,Panthers,Christian McCaffrey 1 yard rush (Joey Slye kick),7,21
4,4.0,13:30,Panthers,Christian McCaffrey 7 yard rush (Joey Slye kick),14,21
5,4.0,6:18,Buccaneers,Ryan Succop 33 yard field goal,14,24
6,4.0,2:00,Panthers,Joey Slye 23 yard field goal,17,24
7,4.0,1:56,Buccaneers,Leonard Fournette 46 yard rush (Ryan Succop kick),17,31
