,Quarter,Tm,Detail,BAL,KAN
0,2,Chiefs,Ted McKnight 1 yard rush (Jan Stenerud kick),0,7
1,4,Chiefs,Ted McKnight 70 yard rush (Jan Stenerud kick),0,14
