,Quarter,Tm,Detail,WAS,CLE
0,1.0,Browns,Ray Renfro 29 yard pass from Milt Plum (Lou Groza kick),0,7
1,1.0,Redskins,Don Bosseler 4 yard rush (Sam Baker kick),7,7
2,3.0,Redskins,Sid Watson 7 yard pass from Eddie LeBaron (Sam Baker kick),14,7
3,4.0,Browns,Lew Carpenter 3 yard rush (Lou Groza kick),14,14
4,4.0,Browns,Milt Plum 1 yard rush (Lou Groza kick),14,21
