,Quarter,Tm,Detail,DET,NYG
0,1.0,Lions,Gail Cogdill 48 yard pass from Milt Plum (Wayne Walker kick),7,0
1,1.0,Giants,Y.A. Tittle 4 yard rush (Don Chandler kick),7,7
2,2.0,Lions,Tom Watkins 4 yard rush (Wayne Walker kick),14,7
3,3.0,Giants,Phil King 1 yard rush (Don Chandler kick),14,14
4,3.0,Giants,Don Chandler 9 yard field goal,14,17
