,Quarter,Tm,Detail,NWE,MIA
0,1.0,Dolphins,Uwe von Schamann 31 yard field goal,0,3
1,2.0,Dolphins,Larry Csonka 1 yard rush (Uwe von Schamann kick),0,10
2,2.0,Patriots,Harold Jackson 16 yard pass from Steve Grogan (John Smith kick),7,10
3,2.0,Patriots,John Smith 28 yard field goal,10,10
4,2.0,Patriots,Stanley Morgan 38 yard pass from Steve Grogan (John Smith kick),17,10
5,2.0,Dolphins,Uwe von Schamann 33 yard field goal,17,13
6,3.0,Dolphins,Nat Moore 38 yard pass from Bob Griese (Uwe von Schamann kick),17,20
7,3.0,Dolphins,"Safety, ball snapped out of end zone",17,22
8,3.0,Dolphins,Larry Csonka 1 yard rush (Uwe von Schamann kick),17,29
9,4.0,Dolphins,Uwe von Schamann 27 yard field goal,17,32
10,4.0,Dolphins,Larry Csonka 1 yard rush (Uwe von Schamann kick),17,39
11,4.0,Patriots,Carlos Pennywell 13 yard pass from Steve Grogan (John Smith kick),24,39
