,Quarter,Tm,Detail,BOS,BKN
0,1.0,Tigers,Bill Reynolds 3 yard rush (Bruiser Kinard kick),0,7
1,2.0,Yanks,Joe Crowley 50 yard pass from George Cafego (Augie Lio kick),7,7
2,2.0,Tigers,Pug Manders 30 yard rush (Bruiser Kinard kick),7,14
3,3.0,Yanks,John Morelli 25 yard fumble return (Augie Lio kick),14,14
4,4.0,Yanks,Augie Lio 17 yard field goal,17,14
