,Quarter,Time,Tm,Detail,CIN,IND
0,1.0,11:32,Colts,Marvin Harrison 56 yard pass from Peyton Manning (Mike Vanderjagt kick),0,7
1,2.0,9:33,Colts,Edgerrin James 1 yard rush (Mike Vanderjagt kick),0,14
2,2.0,4:41,Colts,Edgerrin James 2 yard rush (Mike Vanderjagt kick),0,21
3,2.0,1:53,Colts,Mike Vanderjagt 22 yard field goal,0,24
4,2.0,0:15,Bengals,Doug Pelfrey 32 yard field goal,3,24
5,4.0,9:17,Colts,Ken Dilger 10 yard pass from Peyton Manning (Mike Vanderjagt kick),3,31
6,4.0,5:13,Bengals,Darnay Scott 10 yard pass from Jeff Blake (Doug Pelfrey kick),10,31
