,Quarter,Tm,Detail,NYG,GNB
0,1.0,Giants,Gene Roberts 45 yard pass from Charlie Conerly (Ben Agajanian kick),7,0
1,1.0,Giants,Ben Agajanian 41 yard field goal,10,0
2,2.0,Packers,Ted Fritsch 27 yard field goal,10,3
3,3.0,Giants,Gene Roberts 44 yard pass from Charlie Conerly (Ben Agajanian kick),17,3
4,3.0,Giants,Gene Roberts 10 yard pass from Charlie Conerly (Ben Agajanian kick),24,3
5,4.0,Packers,Ralph Earhart 57 yard punt return (Ted Fritsch kick),24,10
6,4.0,Giants,Bill Swiacki 24 yard pass from Charlie Conerly,30,10
