,Quarter,Tm,Detail,DAL,MIN
0,1,Cowboys,Billy Howton 12 yard pass from Don Meredith (Allen Green kick),7,0
1,2,Cowboys,Don Perkins 3 yard rush (Allen Green kick),14,0
2,3,Cowboys,Frank Clarke 23 yard pass from Eddie LeBaron (Allen Green kick),21,0
3,4,Cowboys,Frank Clarke 52 yard pass from Don Meredith (Allen Green kick),28,0
