,Quarter,Tm,Detail,GNB,HOU
0,2.0,Packers,Chris Jacke 39 yard field goal,3,0
1,3.0,Packers,Chris Jacke 36 yard field goal,6,0
2,3.0,Packers,Chris Jacke 20 yard field goal,9,0
3,3.0,Oilers,Cody Carlson 1 yard rush (Al Del Greco kick),9,7
4,4.0,Packers,Sterling Sharpe 6 yard pass from Brett Favre (Chris Jacke kick),16,7
5,4.0,Oilers,Lorenzo White 2 yard rush (Al Del Greco kick),16,14
