,Quarter,Tm,Detail,NWE,DEN
0,1.0,Broncos,Rich Karlis 44 yard field goal,0,3
1,2.0,Patriots,Tony Franklin 34 yard field goal,3,3
2,2.0,Patriots,Stanley Morgan 5 yard pass from Tony Eason (Tony Franklin kick),10,3
3,2.0,Patriots,Tony Franklin 37 yard field goal,13,3
4,3.0,Broncos,Clarence Kay 1 yard pass from John Elway (Rich Karlis kick),13,10
5,3.0,Broncos,Sammy Winder 12 yard rush (Rich Karlis kick),13,17
6,4.0,Broncos,Gerald Willhite 1 yard rush (Rich Karlis kick),13,24
7,4.0,Broncos,Rich Karlis 34 yard field goal,13,27
8,4.0,Patriots,Irving Fryar 10 yard pass from Tony Eason (Tony Franklin kick),20,27
