,Quarter,Tm,Detail,PIT,NYY
0,2.0,Steelers,Jerry Shipkey 1 yard rush,6,0
1,3.0,Steelers,Val Jansante 44 yard pass from Joe Geri (Joe Geri kick),13,0
2,3.0,Steelers,Joe Geri 1 yard rush (Joe Geri kick),20,0
3,4.0,Steelers,Jim Finks 17 yard pass from Charlie Seabright (Joe Geri kick),27,0
