,Quarter,Tm,Detail,GNB,BAL
0,1.0,Colts,Tony Lorick 4 yard rush (Lou Michaels kick),0,7
1,2.0,Packers,Jim Taylor 16 yard rush (Paul Hornung kick),7,7
2,2.0,Packers,Max McGee 42 yard pass from Bart Starr (Paul Hornung kick),14,7
3,3.0,Colts,Lou Michaels 40 yard field goal,14,10
4,3.0,Colts,Lenny Moore 21 yard rush (Lou Michaels kick),14,17
5,4.0,Packers,Elijah Pitts 65 yard punt return (Paul Hornung kick),21,17
6,4.0,Colts,Lenny Moore 5 yard rush (Lou Michaels kick),21,24
