,Quarter,Time,Tm,Detail,STL,TAM
0,2.0,0:03,Buccaneers,Matt Bryant 27 yard field goal,0,3
1,3.0,10:41,Buccaneers,Cadillac Williams 7 yard rush (Matt Bryant kick),0,10
2,4.0,11:31,Rams,Jeff Wilkins 25 yard field goal,3,10
3,4.0,7:56,Buccaneers,Earnest Graham 8 yard rush (Matt Bryant kick),3,17
4,4.0,5:00,Buccaneers,Earnest Graham 28 yard rush (Matt Bryant kick),3,24
