,Quarter,Tm,Detail,NYJ,HOU
0,1.0,Jets,Jerome Barkum 25 yard pass from Joe Namath (Bobby Howfield kick),7,0
1,1.0,Jets,Bobby Howfield 8 yard field goal,10,0
2,2.0,Oilers,Willie Rodgers 1 yard rush (Skip Butler kick),10,7
3,2.0,Oilers,Ken Burrough 52 yard pass from Dan Pastorini (Skip Butler kick),10,14
4,2.0,Jets,Bobby Howfield 32 yard field goal,13,14
5,3.0,Oilers,Skip Butler 12 yard field goal,13,17
6,3.0,Oilers,Skip Butler 20 yard field goal,13,20
7,3.0,Oilers,Skip Butler 20 yard field goal,13,23
8,4.0,Jets,Rich Caster 4 yard pass from Joe Namath (Bobby Howfield kick),20,23
9,4.0,Oilers,Skip Butler 12 yard field goal,20,26
