,Quarter,Tm,Detail,OAK,CIN
0,2.0,Bengals,Doug Dressler 1 yard rush (Horst Muhlmann kick),0,7
1,2.0,Raiders,George Blanda 24 yard field goal,3,7
2,3.0,Raiders,Charlie Smith 8 yard rush (George Blanda kick),10,7
3,4.0,Raiders,George Blanda 22 yard field goal,13,7
4,4.0,Raiders,Clarence Davis 1 yard rush (George Blanda kick),20,7
5,4.0,Bengals,Chip Myers 39 yard pass from Ken Anderson (Horst Muhlmann kick),20,14
