,Quarter,Time,Tm,Detail,OAK,CLE
0,1.0,8:33,Raiders,Sebastian Janikowski 23 yard field goal,3,0
1,2.0,6:46,Raiders,Andre Holmes 3 yard pass from Derek Carr (Sebastian Janikowski kick),10,0
2,2.0,1:44,Browns,Travis Coons 24 yard field goal,10,3
3,2.0,0:18,Raiders,Seth Roberts 13 yard pass from Derek Carr (Sebastian Janikowski kick),17,3
4,3.0,9:25,Raiders,Sebastian Janikowski 35 yard field goal,20,3
5,3.0,3:32,Browns,Gary Barnidge 28 yard pass from Josh McCown (Travis Coons kick),20,10
6,4.0,14:30,Raiders,Latavius Murray 6 yard rush (Sebastian Janikowski kick),27,10
7,4.0,10:57,Browns,Travis Coons 41 yard field goal,27,13
8,4.0,6:28,Browns,Travis Benjamin 4 yard pass from Josh McCown (Travis Coons kick),27,20
