,Quarter,Tm,Detail,NYG,CHI
0,1.0,Bears,Shaun Gayle 5 yard punt return (Kevin Butler kick),0,7
1,3.0,Bears,Dennis McKinnon 23 yard pass from Jim McMahon (Kevin Butler kick),0,14
2,3.0,Bears,Dennis McKinnon 20 yard pass from Jim McMahon (Kevin Butler kick),0,21
