,Quarter,Tm,Detail,NYJ,BAL
0,1.0,Jets,Eddie Bell 65 yard pass from Joe Namath,6,0
1,1.0,Colts,Sam Havrilak 40 yard pass from Johnny Unitas (Jim O'Brien kick),6,7
2,2.0,Colts,Jim O'Brien 14 yard field goal,6,10
3,2.0,Colts,Jim O'Brien 32 yard field goal,6,13
4,2.0,Jets,John Riggins 67 yard pass from Joe Namath (Bobby Howfield kick),13,13
5,2.0,Colts,Don McCauley 93 yard kickoff return (Jim O'Brien kick),13,20
6,2.0,Jets,Don Maynard 28 yard pass from Joe Namath (Bobby Howfield kick),20,20
7,2.0,Jets,Rich Caster 10 yard pass from Joe Namath (Bobby Howfield kick),27,20
8,3.0,Jets,Bobby Howfield 14 yard field goal,30,20
9,4.0,Colts,Don McCauley 1 yard rush (Jim O'Brien kick),30,27
10,4.0,Jets,Rich Caster 79 yard pass from Joe Namath (Bobby Howfield kick),37,27
11,4.0,Colts,Tom Matte 21 yard pass from Johnny Unitas (Jim O'Brien kick),37,34
12,4.0,Jets,Rich Caster 80 yard pass from Joe Namath (Bobby Howfield kick),44,34
