,Quarter,Tm,Detail,DUL,POT
0,1.0,Eskimos,Joe Rooney 25 yard pass from Ernie Nevers (Ernie Nevers kick),7,0
1,2.0,Eskimos,Russ Method 11 yard pass from Ernie Nevers (Ernie Nevers kick),14,0
2,2.0,Eskimos,Joe Rooney 60 yard pass from Ernie Nevers,20,0
3,2.0,Eskimos,Joe Rooney 38 yard pass from Ernie Nevers (Ernie Nevers kick),27,0
