,Quarter,Tm,Detail,DET,SFO
0,1.0,49ers,Tommy Davis 14 yard field goal,0,3
1,2.0,Lions,Amos Marsh 20 yard rush (Wayne Walker kick),7,3
2,2.0,Lions,Milt Plum 1 yard rush (Wayne Walker kick),14,3
3,4.0,49ers,Dave Parks 34 yard pass from John Brodie (Tommy Davis kick),14,10
4,4.0,49ers,Ken Willard 1 yard rush (Tommy Davis kick),14,17
