,Quarter,Tm,Detail,HOU,CHI
0,2.0,Bears,Bob Thomas 27 yard field goal,0,3
1,2.0,Bears,Bob Thomas 22 yard field goal,0,6
2,2.0,Oilers,Tim Wilson 8 yard pass from Gifford Nielsen (Toni Fritsch kick),7,6
3,3.0,Oilers,Toni Fritsch 29 yard field goal,10,6
