,Quarter,Time,Tm,Detail,OAK,BUF
0,1.0,5:57,Bills,Steve Christie 32 yard field goal,0,3
1,2.0,11:49,Bills,Jay Riemersma 13 yard pass from Doug Flutie (Steve Christie kick),0,10
2,2.0,8:46,Bills,Lonnie Johnson 2 yard pass from Doug Flutie (Steve Christie kick),0,17
3,2.0,2:00,Raiders,Rickey Dudley 18 yard pass from Wade Wilson (Greg Davis kick),7,17
4,2.0,0:21,Bills,Steve Christie 49 yard field goal,7,20
5,3.0,11:31,Bills,Antowain Smith 5 yard rush (Steve Christie kick),7,27
6,3.0,8:56,Bills,Steve Christie 32 yard field goal,7,30
7,3.0,7:55,Bills,Phil Hansen 13 yard defensive fumble return (Steve Christie kick),7,37
8,3.0,4:50,Raiders,Desmond Howard 75 yard punt return (Greg Davis kick),14,37
9,4.0,9:08,Bills,Gabe Northern 40 yard interception return (Steve Christie kick),14,44
10,4.0,5:16,Raiders,Tim Brown 30 yard pass from Wade Wilson (Greg Davis kick),21,44
