,Quarter,Time,Tm,Detail,GNB,DET
0,1.0,6:48,Packers,Donald Driver 7 yard pass from Brett Favre (Ryan Longwell kick),7,0
1,1.0,3:47,Lions,Az-Zahir Hakim 28 yard pass from Joey Harrington (Jason Hanson kick),7,7
2,2.0,9:10,Packers,Tony Fisher 13 yard pass from Brett Favre (Ryan Longwell kick),14,7
3,2.0,4:41,Lions,Jason Hanson 48 yard field goal,14,10
4,2.0,0:00,Packers,Ryan Longwell 50 yard field goal,17,10
5,3.0,10:52,Packers,Darren Sharper 36 yard interception return (Ryan Longwell kick),24,10
6,3.0,3:28,Packers,Najeh Davenport 13 yard rush (Ryan Longwell kick),31,10
7,4.0,10:01,Packers,Donald Driver 20 yard pass from Ahman Green (Ryan Longwell kick),38,10
