,Quarter,Time,Tm,Detail,NWE,PIT
0,1,,Steelers,Kordell Stewart 40 yard rush (Norm Johnson kick),0,7
1,2,,Patriots,Adam Vinatieri 31 yard field goal,3,7
2,4,,Patriots,Adam Vinatieri 46 yard field goal,6,7
