,Quarter,Time,Tm,Detail,STL,PHI
0,2.0,,Eagles,Calvin Williams 33 yard pass from Rodney Peete (Gary Anderson kick),0,7
1,2.0,,Eagles,Gary Anderson 20 yard field goal,0,10
2,3.0,,Rams,Steve McLaughlin 29 yard field goal,3,10
3,4.0,,Rams,Isaac Bruce 12 yard pass from Chris Miller (run failed),9,10
4,4.0,,Eagles,Gary Anderson 36 yard field goal,9,13
5,4.0,,Eagles,Kevin Johnson 37 yard defensive fumble return (Gary Anderson kick),9,20
