,Quarter,Tm,Detail,HOU,KAN
0,1.0,Oilers,Tony Jones 24 yard pass from Warren Moon (Teddy Garcia kick),7,0
1,2.0,Oilers,Teddy Garcia 32 yard field goal,10,0
2,2.0,Chiefs,J.J. Birden 62 yard pass from Steve DeBerg (Nick Lowery kick),10,7
3,3.0,Oilers,Haywood Jeffires 87 yard pass from Warren Moon (Teddy Garcia kick),17,7
4,3.0,Chiefs,Nick Lowery 35 yard field goal,17,10
5,4.0,Oilers,Teddy Garcia 26 yard field goal,20,10
6,4.0,Oilers,Tony Jones 2 yard pass from Warren Moon (Teddy Garcia kick),27,10
