,Quarter,Tm,Detail,MIA,SFO
0,1.0,49ers,Jim Plunkett 4 yard rush,0,6
1,1.0,Dolphins,Nat Moore 32 yard pass from Bob Griese (Garo Yepremian kick),7,6
2,2.0,49ers,Tom Wittum 28 yard field goal,7,9
3,2.0,Dolphins,Nat Moore 19 yard rush,13,9
4,3.0,49ers,Mike Baldassin special teams fumble recovery in end zone,13,15
5,3.0,Dolphins,Nat Moore 73 yard pass from Bob Griese,19,15
