,Quarter,Tm,Detail,GNB,NOR
0,1.0,Saints,Eric Martin 72 yard pass from Bobby Hebert (Morten Andersen kick),0,7
1,1.0,Saints,Morten Andersen 20 yard field goal,0,10
2,1.0,Saints,Dalton Hilliard 3 yard rush (Morten Andersen kick),0,17
3,2.0,Packers,Al Del Greco 50 yard field goal,3,17
4,2.0,Saints,James Haynes 17 yard interception return (Morten Andersen kick),3,24
5,3.0,Packers,James Lofton 8 yard pass from Randy Wright (Al Del Greco kick),10,24
