,Quarter,Tm,Detail,PRT,SIS
0,2.0,Spartans,Dutch Clark 74 yard rush (Dutch Clark kick),7,0
1,2.0,Stapletons,Ken Strong 6 yard rush,7,6
2,4.0,Spartans,John Cavosie 40 yard interception return,13,6
