,Quarter,Tm,Detail,BAL,GNB
0,2.0,Colts,Lou Michaels 26 yard field goal,3,0
1,2.0,Packers,Lee Roy Caffey 52 yard interception return (Don Chandler kick),3,7
2,2.0,Packers,Bob Jeter 46 yard interception return (Don Chandler kick),3,14
3,3.0,Packers,Bart Starr 8 yard rush (Don Chandler kick),3,21
4,3.0,Packers,Don Chandler 15 yard field goal,3,24
