,Quarter,Tm,Detail,CHI,CRD
0,1.0,Bears,J.R. Boone 4 yard rush (Johnny Lujack kick),7,0
1,2.0,Bears,J.R. Boone 4 yard rush (Johnny Lujack kick),14,0
2,2.0,Cardinals,Mal Kutner 7 yard pass from Ray Mallouf (Pat Harder kick),14,7
3,2.0,Cardinals,Pat Harder 30 yard field goal,14,10
4,3.0,Cardinals,Babe Dimancheff 52 yard pass from Ray Mallouf (Pat Harder kick),14,17
5,3.0,Bears,Frank Minini 95 yard kickoff return (Johnny Lujack kick),21,17
6,3.0,Bears,Noah Mullins 9 yard pass from Sid Luckman (Johnny Lujack kick),28,17
