,Quarter,Tm,Detail,CHI,RAM
0,1.0,Bears,Roger LeClerc 18 yard field goal,3,0
1,1.0,Bears,Gale Sayers 1 yard rush (Roger LeClerc kick),10,0
2,1.0,Rams,Jack Snow 84 yard pass from Roman Gabriel (Bruce Gossett kick),10,7
3,2.0,Rams,Dick Bass 3 yard rush (Bruce Gossett kick),10,14
4,2.0,Bears,Gale Sayers 58 yard rush (Roger LeClerc kick),17,14
5,3.0,Rams,Dick Bass 1 yard rush (Bruce Gossett kick),17,21
6,4.0,Rams,Bruce Gossett 11 yard field goal,17,24
7,4.0,Rams,Lamar Lundy 33 yard interception return (Bruce Gossett kick),17,31
