,Quarter,Tm,Detail,PIT,NYG
0,1,Steelers,Elbie Nickel 58 yard pass from Joe Geri (Joe Geri kick),7,0
1,2,Steelers,Joe Geri 21 yard field goal,10,0
2,3,Giants,Joe Scott 33 yard pass from Charlie Conerly,10,6
3,4,Steelers,Jerry Shipkey 1 yard rush (Joe Geri kick),17,6
